Load (kN),Torque (Nm),Vibration RMS (mm/s),Temperature (°C),Wear (mm),Lubrication Index,Efficiency (%),Cycles in Use,RUL (cycles)
62.06,213.51,8.098,88.94,1.3162,0.6155,87.83,40807,0
66.37,263.29,4.551,77.27,0.0854,0.9631,94.49,2990,84794
30.62,119.77,1.66,57.92,0.0026,1.0,96.8,194,89630
46.51,159.51,3.477,66.25,0.0408,1.0,95.3,2109,87487
56.25,207.92,5.326,81.42,0.6399,0.7394,91.94,26615,19883
61.3,190.41,5.84,79.77,0.4884,0.77,93.09,15308,48836
48.01,197.84,7.006,77.37,0.4721,0.788,92.83,19368,53932
46.12,152.46,3.859,81.27,0.2289,0.8523,94.44,8620,78131
69.44,292.06,5.358,76.01,0.394,0.7745,92.99,12980,48456
47.21,156.43,2.62,81.37,0.0608,0.8913,94.46,2834,86607
52.13,225.85,11.122,103.92,1.7663,0.4007,85.51,75851,0
30.57,108.45,5.311,79.53,0.2515,0.5718,93.31,21252,72311
59.85,226.61,3.344,87.74,0.0951,0.7746,93.48,3144,83913
72.7,258.26,5.159,91.44,0.0866,0.9542,93.18,2512,84910
54.09,221.56,4.793,71.0,0.5931,0.9216,94.17,20558,46928
65.99,247.94,4.707,93.72,0.3059,0.7857,91.85,8278,67958
40.31,166.67,8.17,88.0,0.5946,0.4315,91.26,32805,29968
63.96,251.05,5.096,91.98,0.476,0.6316,92.16,18820,30782
43.79,173.53,5.767,77.04,0.3649,0.7616,92.53,22225,57097
42.26,181.35,1.195,66.05,0.0128,1.0,94.85,572,89220
24.84,77.64,1.989,68.6,0.0073,1.0,95.94,602,90292
40.46,169.37,3.878,72.28,0.005,0.9607,95.09,221,89402
35.45,149.67,4.19,75.87,0.0718,0.8633,95.12,3630,86973
52.31,223.87,2.219,80.47,0.0126,0.9436,94.69,421,90553
38.19,138.49,8.838,85.07,1.1296,0.384,89.26,65860,752
55.31,229.95,7.713,91.98,0.6763,0.7216,91.34,28594,13794
26.56,99.78,4.29,62.45,0.2484,0.7506,95.42,21893,76053
29.9,118.96,2.601,53.82,0.102,0.9443,96.06,6295,87624
57.36,175.18,4.408,90.8,0.1835,0.8232,92.75,7348,75682
30.04,131.32,4.326,65.7,0.2928,0.7762,95.7,22426,74183
31.5,123.25,3.201,72.78,0.2454,0.8973,95.03,14188,79423
44.92,180.34,4.853,83.2,0.4213,0.7005,92.86,19546,58462
37.11,129.33,5.547,82.88,0.3901,0.7395,92.49,24019,62015
57.97,213.44,3.117,77.48,0.099,1.0,93.75,4140,82992
23.68,57.48,7.098,83.46,0.549,0.4813,91.91,44638,56327
31.5,143.46,6.067,72.07,0.3095,0.7598,94.69,18875,74245
44.11,176.46,3.525,73.47,0.0523,1.0,95.06,2544,88267
23.39,97.17,3.894,77.16,0.2861,0.5894,93.85,31168,72730
8.0,40.0,3.224,58.33,0.026,0.8952,97.28,6478,89724
54.56,236.54,9.475,105.03,1.2491,0.5272,86.29,43560,581
29.89,126.67,3.885,69.27,0.254,0.9173,95.71,16991,78821
40.51,155.24,9.912,102.3,1.2614,0.3455,87.2,82278,527
60.94,229.59,3.902,81.91,0.11,0.9295,93.93,4470,82536
36.59,150.83,2.437,64.19,0.0365,0.9742,96.38,2395,87941
23.53,100.3,2.524,55.46,0.0083,1.0,96.4,831,89497
34.86,129.45,3.65,83.37,0.2875,0.6944,93.31,15314,74423
65.48,255.73,17.04,109.48,3.5323,0.2141,77.37,100000,0
57.96,197.1,12.311,106.96,1.9861,0.2559,83.7,80224,74
48.7,205.93,6.449,91.82,0.5822,0.611,91.19,30385,23612
34.63,135.54,4.663,84.3,0.373,0.6395,92.27,28336,58607
49.97,192.54,4.8,72.05,0.2518,0.8334,94.96,10309,73895
47.83,169.32,6.617,82.33,0.7256,0.6603,91.71,28115,26765
71.31,259.62,3.158,92.98,0.2624,0.9198,93.35,9373,65703
41.31,158.13,4.756,78.41,0.159,0.8247,94.64,8175,81672
62.6,234.96,8.616,93.3,1.5926,0.6399,87.21,50037,0
23.76,87.11,3.886,69.16,0.0306,0.8417,95.9,2296,89778
19.4,62.02,2.651,71.74,0.2123,0.7642,94.19,25466,80507
46.06,193.24,1.939,70.94,0.0045,1.0,95.34,179,89684
16.77,40.0,2.847,67.01,0.0751,0.8031,96.47,11289,85939
75.62,304.51,9.511,100.41,1.1438,0.6861,87.42,29283,0
33.4,124.92,5.427,72.58,0.4256,0.668,94.63,29527,58393
41.05,162.81,5.563,67.11,0.9494,0.5201,92.26,44282,523
37.02,128.39,10.316,94.06,1.1461,0.2781,88.33,70242,226
52.17,166.63,6.146,94.52,0.6008,0.5861,91.07,26339,24097
47.31,193.39,7.931,93.07,0.9038,0.6085,89.92,38238,177
55.73,194.41,5.537,77.82,0.3367,0.7795,93.51,13901,60429
41.77,117.64,5.873,86.78,0.3066,0.6923,92.31,18120,66266
41.48,146.41,4.224,70.33,0.0692,1.0,95.43,2930,87029
45.03,174.94,3.524,89.59,0.2274,0.697,92.76,12940,70339
34.3,136.0,3.008,72.32,0.0164,0.7975,94.73,972,90262
24.26,56.23,4.395,69.56,0.366,0.6683,94.38,36253,66959
25.92,112.31,6.348,75.41,0.346,0.5556,93.22,23077,74643
25.0,108.9,4.358,68.85,0.1732,0.8641,93.46,11945,83805
42.46,153.79,2.258,74.25,0.0565,1.0,95.71,2390,88731
42.49,153.72,6.472,86.4,0.4794,0.6096,92.8,27827,44285
15.6,40.0,5.535,71.62,0.2348,0.7338,94.95,27529,82541
41.0,150.62,2.44,48.23,0.0413,0.9951,96.81,2581,87853
42.96,156.55,7.38,95.81,0.8701,0.5556,89.47,40859,2013
28.51,90.16,4.2,66.94,0.0181,1.0,95.31,1222,88761
69.05,247.96,15.484,118.03,3.1138,0.2202,78.31,87976,239
66.61,255.57,6.868,80.77,0.4923,0.8292,92.29,19568,31493
34.21,94.85,3.588,60.55,0.0719,0.9909,96.22,3830,86539
26.63,92.28,2.4,58.7,0.0271,1.0,96.71,2451,88331
19.99,51.1,6.911,93.5,0.8914,0.1237,89.44,100000,8578
36.06,131.74,3.671,74.54,0.0915,0.9536,96.1,5134,86540
75.04,294.59,4.597,81.98,0.0133,1.0,94.59,363,90137
37.81,117.71,5.75,87.13,0.538,0.6248,91.93,32615,43880
42.74,200.5,5.253,74.1,0.1439,0.87,95.19,7845,81883
45.82,192.82,4.99,83.06,0.4623,0.8655,92.72,21114,58025
33.88,123.65,2.331,68.34,0.0126,0.9666,95.68,888,89565
25.26,84.04,3.41,70.15,0.0796,1.0,95.66,6665,87350
19.32,64.38,4.804,59.97,0.0403,0.9264,97.01,4643,89262
32.85,111.9,6.02,77.38,0.6151,0.7159,91.5,40508,44533
36.22,122.71,7.652,95.12,0.8815,0.528,90.55,46752,11567
63.51,234.55,4.429,80.73,0.2042,1.0,93.11,6668,77557
37.37,120.51,6.181,77.15,0.6662,0.7562,91.55,31112,46757
46.53,193.66,4.925,76.72,0.0185,0.9735,95.23,1068,88730
34.77,131.1,9.429,99.06,1.1459,0.4135,88.79,64530,1089
14.72,70.19,3.784,67.53,0.133,0.6717,95.09,20181,85228
49.48,198.34,8.3,93.78,0.9939,0.5612,89.22,47271,0
55.61,210.55,8.738,83.5,1.3478,0.6199,88.82,41889,0
39.09,145.62,7.321,77.14,0.841,0.4826,91.34,43065,6136
40.36,123.76,2.303,76.2,0.1847,0.9126,94.73,9833,80074
63.18,244.38,3.259,83.79,0.0103,0.9332,94.94,372,89221
24.55,87.32,3.358,70.59,0.0039,0.9182,96.02,340,90922
39.45,132.73,6.625,82.03,0.5204,0.5161,93.01,31746,38714
29.29,116.56,6.314,77.26,0.737,0.4463,92.93,56479,23786
64.09,216.4,5.23,95.92,0.2629,0.7798,92.74,10929,63783
46.78,178.62,3.448,74.01,0.1932,0.9025,94.33,8470,78449
34.29,137.3,3.064,65.8,0.0438,0.9369,95.07,3413,87771
50.49,202.63,2.417,63.26,0.001,0.9385,96.77,36,90187
45.14,166.84,7.084,90.02,0.7691,0.4807,91.08,32831,13245
59.2,240.69,3.328,73.59,0.2991,0.9852,93.66,9983,71322
47.14,218.55,7.42,96.53,0.8423,0.4605,89.18,33583,1251
47.61,209.42,9.147,80.21,1.3338,0.4002,89.61,64527,0
80.23,300.42,8.035,112.91,1.0353,0.6695,87.67,26307,0
43.01,185.56,5.568,80.44,0.2909,0.8567,93.18,16693,69354
59.42,206.46,9.152,91.05,1.5454,0.4815,87.26,45701,54
71.35,257.3,14.0,108.55,2.7042,0.3124,81.11,77542,0
64.55,211.24,3.819,80.79,0.1044,0.933,94.47,3992,81733
50.55,162.16,6.684,87.16,0.748,0.6818,91.23,30842,14732
23.89,96.1,9.259,93.71,1.0568,0.1787,88.17,98235,315
30.5,106.43,7.028,63.01,0.265,0.8374,95.39,14983,80094
11.91,40.0,4.124,63.09,0.0548,0.7811,95.5,11882,86743
41.83,164.88,4.005,85.99,0.2795,0.8161,92.68,15015,70782
64.88,263.01,6.258,83.99,0.2248,0.9964,93.85,6471,76867
33.65,127.27,4.19,69.38,0.1294,0.9616,95.28,7693,85960
37.79,154.24,2.646,76.04,0.0691,0.8383,95.12,3666,86873
41.41,146.37,6.031,80.99,0.6393,0.5839,91.68,37601,22885
55.73,222.27,5.971,86.4,0.8601,0.7496,91.69,31100,336
39.55,167.3,7.441,87.78,1.019,0.4471,89.14,62869,0
48.61,178.63,6.626,78.73,0.6035,0.6333,90.72,21914,42208
33.89,111.27,7.615,86.69,0.8916,0.4449,89.58,61928,103
51.02,174.15,9.671,109.48,1.0031,0.5349,87.52,46856,647
29.94,123.03,8.183,69.39,0.4501,0.6109,93.4,35550,57695
38.4,130.72,6.706,75.19,0.4399,0.7704,92.22,27898,56220
77.64,276.75,10.345,103.27,1.651,0.5932,86.61,42733,117
72.27,307.75,6.805,92.08,0.9024,0.6547,90.0,24037,0
23.24,84.74,7.942,86.39,1.0506,0.2601,90.32,78663,7521
18.98,53.98,4.304,71.09,0.2445,0.6584,93.8,22725,81285
65.08,263.81,7.53,87.59,0.7821,0.6771,90.98,23189,4340
68.69,248.21,2.711,91.13,0.0233,0.9484,92.75,790,88351
21.06,102.47,2.635,53.75,0.0644,1.0,96.55,8141,88118
38.77,143.21,5.549,84.7,0.4795,0.6891,92.62,25506,55515
66.01,256.83,3.615,72.43,0.0269,0.9895,95.1,765,89015
56.02,212.9,7.129,98.7,0.5253,0.6124,90.52,19307,39712
34.72,100.53,2.705,69.43,0.0193,0.9334,95.43,1358,88934
32.76,112.84,4.842,80.74,0.0769,0.7151,94.81,6083,85815
32.45,138.64,8.879,90.49,0.9629,0.2997,89.64,78970,71
53.72,231.61,10.35,94.63,1.2669,0.4439,88.04,56374,0
32.8,132.31,8.485,97.99,1.0839,0.2066,88.96,69449,0
59.84,222.68,2.767,80.47,0.0475,0.9382,93.62,1600,88563
41.95,155.64,7.25,85.42,0.5607,0.7043,92.85,25221,48735
29.51,124.03,7.815,91.09,0.8318,0.3339,90.0,63569,5559
77.18,288.62,7.248,93.23,0.538,0.6381,91.63,14352,27328
30.29,145.96,4.845,69.4,0.3959,0.8209,94.17,22630,71578
54.36,208.93,6.593,91.74,0.3901,0.6407,93.06,18990,46634
60.12,234.83,3.65,79.31,0.3145,0.9293,92.69,10733,68396
58.03,224.6,4.739,70.0,0.0399,0.9043,94.54,1369,88354
48.33,186.94,11.902,104.87,1.665,0.1628,85.42,79980,0
45.38,180.39,5.149,85.63,0.2482,0.8734,93.59,12696,73451
39.98,202.52,5.053,73.68,0.2478,0.8021,93.58,14715,74023
58.12,208.99,8.483,80.13,1.285,0.6197,89.51,40559,0
40.71,176.78,5.677,79.46,0.5975,0.7677,93.1,25604,51857
45.03,173.82,11.295,105.78,2.0649,0.2799,84.15,100000,0
25.17,74.82,5.072,81.94,0.3647,0.5541,92.83,33247,66642
45.62,209.32,3.26,67.67,0.024,1.0,96.13,1022,89197
52.5,183.01,4.845,81.81,0.5088,0.7398,93.75,24827,35972
41.46,145.75,2.346,72.0,0.028,1.0,95.24,1496,88461
46.15,184.73,2.954,72.91,0.1359,1.0,93.45,6319,83034
54.29,181.19,4.454,75.89,0.2111,0.7634,93.88,8539,74712
48.25,194.88,5.398,83.63,0.2876,0.7188,93.09,14653,66066
82.88,326.64,7.291,97.21,0.9734,0.836,89.68,22536,0
44.31,198.42,4.832,82.75,0.1955,0.8451,94.28,7914,79753
63.47,236.98,3.422,81.27,0.3792,0.9936,93.53,13829,59552
35.57,143.37,2.624,77.85,0.1952,0.8301,93.27,11901,79654
23.37,72.9,1.819,59.27,0.0227,0.9319,97.0,2296,89470
43.4,171.23,4.072,71.68,0.1584,0.7554,95.18,8012,81035
36.12,137.82,6.193,78.61,0.6905,0.5644,92.83,47890,18956
42.62,173.65,8.472,91.11,0.9916,0.4291,88.55,45547,64
19.63,40.0,1.849,61.84,0.0161,0.9141,95.82,2011,90166
58.25,224.14,4.0,78.47,0.0906,0.8977,93.93,3394,83582
58.36,209.14,5.875,86.82,0.4021,0.8278,92.16,13490,59510
56.8,222.94,6.53,77.47,0.2834,0.7235,93.95,11769,64806
8.74,40.0,3.401,58.8,0.118,0.6565,96.32,24635,87843
43.65,141.03,5.303,90.5,0.5678,0.6216,91.11,34924,26042
31.49,128.9,4.234,64.37,0.2811,0.825,95.15,20127,73486
25.89,145.88,3.069,65.38,0.2062,0.775,95.62,18867,79694
68.99,277.39,7.555,93.5,0.7312,0.6385,90.05,22840,0
72.5,263.25,4.102,87.96,0.2814,0.9328,93.1,10321,62084
57.55,217.37,5.72,90.87,0.7026,0.5702,90.47,21387,22804
18.45,95.81,5.879,76.58,0.4592,0.4367,94.39,54963,64476
35.96,117.98,6.403,85.7,0.5709,0.6803,90.81,29765,52255
32.31,125.24,3.341,72.96,0.1423,0.9923,94.65,7939,84527
52.75,173.6,6.482,87.47,0.3957,0.8198,92.51,14646,61325
36.7,168.09,7.52,88.14,1.1311,0.3021,89.35,72376,0
39.44,165.52,3.328,78.49,0.155,0.7935,94.16,9973,80246
51.82,199.15,5.01,88.87,0.2921,0.6876,91.41,12742,65798
76.11,290.45,3.519,96.61,0.0902,0.9723,92.8,2715,83478
46.51,173.67,5.642,95.04,0.8715,0.4942,88.61,39101,45
43.94,158.61,3.27,64.41,0.283,0.9029,94.61,12974,72961
65.09,248.44,7.536,102.26,0.8232,0.5694,89.38,27133,0
37.86,174.07,5.646,74.09,0.4649,0.7384,93.3,22071,61951
29.45,118.9,2.066,61.5,0.0802,0.974,95.36,6879,86799
74.75,299.82,6.349,92.82,0.4439,0.8044,91.05,11195,49689
58.54,195.7,5.262,78.18,0.2309,0.8783,93.52,8225,73635
45.44,124.66,14.526,107.75,2.6165,0.2534,81.34,100000,0
32.61,98.15,6.183,73.99,0.1747,0.7655,94.3,12444,80909
41.54,141.77,6.32,80.97,0.4872,0.8465,91.4,22749,59563
35.21,120.92,2.653,69.19,0.0895,0.8919,95.59,5488,85239
21.95,65.4,4.326,59.0,0.1751,0.9938,94.84,20912,82885
48.35,166.72,5.163,74.09,0.541,0.7822,93.13,23739,45515
45.11,143.98,3.357,80.78,0.1264,0.9929,94.42,5416,83885
58.19,194.98,4.052,80.7,0.0366,0.9642,94.89,1584,86860
48.82,177.51,2.699,65.52,0.0803,1.0,95.15,4354,85350
30.93,122.35,5.69,88.11,0.2915,0.6567,94.89,17144,76146
44.42,185.79,5.096,82.38,0.1111,0.826,93.71,6020,82587
50.55,184.37,2.883,78.1,0.0369,1.0,95.15,1760,88008
32.44,138.94,4.791,67.96,0.278,0.6953,94.74,17352,74749
47.14,176.02,9.82,102.35,1.3877,0.3006,86.88,65405,0
23.03,91.27,3.562,52.84,0.0672,0.9561,96.84,5807,88419
46.49,177.23,10.705,100.14,2.0803,0.2542,83.71,87504,0
52.27,199.53,6.551,85.9,0.4772,0.7863,92.81,20736,47175
40.33,167.64,1.285,64.37,0.0454,0.9898,95.93,2663,88254
67.47,232.02,5.617,104.77,0.4102,0.6626,90.15,13768,45571
48.17,187.01,6.008,75.26,0.3162,0.8424,94.39,12752,70398
56.03,221.98,4.821,86.05,0.08,0.8292,93.89,3581,84734
43.21,129.31,3.345,67.65,0.0646,1.0,96.37,3603,86815
55.31,232.22,4.331,75.13,0.2778,0.9345,93.73,11261,70556
37.58,162.39,8.288,87.43,0.9304,0.4504,89.42,46818,727
67.95,240.94,3.091,83.33,0.0249,0.9825,94.25,941,88306
35.55,118.02,6.151,82.02,0.6354,0.6524,91.81,41452,34702
50.63,176.82,8.628,87.01,1.0948,0.5612,89.58,44392,0
25.17,61.96,5.157,67.95,0.1582,0.7033,96.2,14541,82272
17.58,78.35,6.756,77.39,0.4117,0.5656,93.71,56503,67282
51.68,214.75,5.703,76.88,0.3256,0.8701,93.81,16360,61692
40.94,160.21,4.272,74.97,0.0532,0.9097,94.16,2823,86274
23.8,106.65,3.345,70.82,0.2337,0.7008,94.86,25277,76782
34.53,118.54,4.295,64.72,0.0058,0.8554,96.36,399,89279
49.77,169.17,7.263,94.78,0.6631,0.5728,90.07,26253,25709
63.06,209.91,8.446,82.99,0.9718,0.6158,89.38,33732,0
62.63,234.19,4.69,75.86,0.267,0.8936,95.28,11132,65230
40.23,136.3,9.825,82.96,1.0168,0.4849,90.06,65937,0
30.69,135.49,7.276,78.33,0.3121,0.6313,93.87,19815,73103
50.82,210.29,4.408,78.96,0.4906,0.9019,92.19,21465,51262
54.96,215.85,8.013,92.09,0.7343,0.543,90.3,31169,434
46.08,201.48,11.733,91.97,2.4146,0.2794,83.74,100000,222
27.4,118.91,5.137,76.01,0.3087,0.6376,94.24,21305,74213
46.15,226.89,5.833,78.28,0.4772,0.8409,92.87,19986,57370
55.3,210.63,6.596,91.79,0.5424,0.6868,91.67,22825,32974
87.48,322.08,11.463,114.42,1.5573,0.4652,84.58,45848,34
67.9,233.68,7.596,85.49,1.0885,0.6468,89.23,37746,5
32.88,108.92,6.818,90.95,0.7183,0.4724,89.47,47408,25521
40.94,175.49,8.391,87.16,0.9621,0.5182,89.92,44635,0
21.43,68.03,7.912,88.35,0.4979,0.3051,91.32,48929,58206
63.27,257.28,3.572,84.54,0.3438,0.9008,91.97,10619,65396
25.89,92.41,0.642,68.23,0.01,1.0,95.81,834,89563
74.72,288.2,18.77,119.52,3.627,0.1828,75.84,100000,0
27.03,117.85,3.698,83.0,0.3432,0.6543,93.13,24795,71397
72.34,243.09,6.461,96.99,0.5266,0.8091,91.51,19090,23057
37.19,157.43,6.003,81.57,0.4721,0.6811,92.67,27523,55411
44.95,145.77,5.738,94.85,0.2776,0.7255,91.96,13073,69926
25.15,85.59,3.935,62.58,0.2727,0.9807,94.6,20613,79932
65.62,252.4,15.614,109.59,3.1082,0.2859,79.25,90782,321
36.38,140.26,10.525,80.16,1.5932,0.2329,87.95,95516,0
65.26,242.86,7.199,91.98,0.8116,0.8339,90.02,22994,11689
45.69,166.84,4.352,76.11,0.2428,0.7592,93.9,14135,70062
68.39,236.47,4.724,87.24,0.1143,0.8814,94.76,3386,82502
16.96,73.25,6.844,77.42,0.4453,0.3752,93.15,50014,68397
25.9,85.48,3.905,70.49,0.2895,0.7618,95.19,24407,75540
54.73,215.62,5.85,90.77,0.3817,0.7522,93.12,14679,58249
46.04,148.33,4.775,78.87,0.0593,0.8271,94.97,3457,85329
44.91,188.99,2.946,71.46,0.0425,0.8459,96.28,2153,88257
8.0,40.0,3.454,59.13,0.0289,0.859,95.96,7778,89375
78.12,296.43,9.693,90.95,1.3992,0.6192,88.26,36480,341
28.44,116.55,3.275,71.96,0.1173,0.8449,95.28,7767,85800
56.13,218.22,4.714,69.52,0.2005,0.9527,94.64,7271,77185
47.28,172.0,4.772,69.33,0.2834,0.8465,95.59,15810,67014
38.44,143.77,4.468,81.59,0.24,0.7723,93.56,11351,77706
42.98,140.13,5.671,75.79,0.6976,0.8905,91.51,28532,45316
29.12,101.83,8.92,91.54,1.4395,0.3566,87.54,100000,0
21.52,83.13,3.854,69.9,0.0332,0.9804,95.73,3328,88551
33.84,109.24,9.23,97.93,1.3263,0.4542,87.44,70173,532
35.84,143.95,2.766,75.42,0.0557,1.0,94.99,2798,87774
59.32,225.25,6.557,95.0,0.7943,0.6193,90.7,25042,5170
42.42,143.56,9.533,89.28,1.5466,0.4197,88.55,70717,0
49.21,171.12,8.467,85.69,0.5851,0.632,91.48,28673,26229
34.95,173.15,3.754,77.5,0.1244,0.8818,94.32,7106,84443
63.43,216.28,8.619,102.8,0.9551,0.5056,88.09,32729,0
48.35,175.03,7.983,92.03,0.9412,0.5331,88.96,39352,0
45.85,163.07,4.387,73.49,0.1724,0.8965,94.09,8824,79510
65.69,221.86,7.758,98.03,0.6997,0.6838,90.19,25413,55
54.7,235.29,4.991,78.96,0.111,0.887,94.96,5306,81746
40.7,184.77,8.441,104.22,1.2005,0.3979,86.57,59255,0
35.36,128.21,11.297,84.83,1.2432,0.3734,89.72,87388,0
46.92,186.23,5.792,93.13,0.7029,0.597,90.18,35671,10369
43.61,197.88,9.292,90.22,0.9646,0.444,90.36,40317,346
70.85,274.17,3.372,82.5,0.2913,1.0,93.34,9080,67347
36.97,162.35,6.905,83.16,0.5671,0.5182,91.43,39938,31150
49.66,213.43,9.489,102.39,1.4741,0.3923,87.29,52599,0
54.01,154.12,14.064,91.6,2.6313,0.4073,82.37,89738,0
25.39,89.08,1.638,65.11,0.111,0.974,95.1,8269,86085
44.37,160.7,14.222,104.31,2.2549,0.0767,83.14,100000,29
78.4,298.44,6.384,101.12,0.4039,0.7334,90.09,12498,42233
27.56,128.2,5.049,66.94,0.3501,0.7355,94.39,29761,69845
38.42,157.69,2.978,61.48,0.0483,0.9138,96.02,3351,87064
51.86,171.86,9.279,94.57,1.1589,0.5715,88.24,50080,329
44.54,161.56,5.341,84.91,0.489,0.5975,91.75,25787,43070
53.21,160.36,4.689,79.11,0.1011,0.8601,94.59,4906,82222
45.71,206.1,5.751,89.91,0.3956,0.6152,93.1,17088,60049
45.74,188.72,7.569,94.8,0.9218,0.4736,89.43,53303,0
45.27,141.15,4.775,66.4,0.1419,0.9289,95.46,8352,80049
60.4,226.72,7.873,88.01,0.6224,0.641,92.09,22008,21378
40.86,141.87,8.164,76.28,0.5892,0.5675,92.33,30314,38218
59.57,247.29,4.863,78.44,0.2851,0.9686,92.54,12841,64845
56.8,184.5,3.675,83.25,0.0019,0.9249,94.72,66,90651
55.38,193.17,8.219,102.17,1.1911,0.6122,89.58,37446,187
22.57,82.75,5.406,82.25,0.1865,0.4056,94.18,21051,78384
36.7,132.01,4.933,60.56,0.2079,0.9353,95.04,12625,78500
53.2,216.61,16.196,101.44,2.8977,0.2888,81.33,100000,0
48.33,183.94,3.219,74.34,0.2281,0.8912,95.03,10200,75809
53.66,222.92,5.551,65.93,0.2941,0.7509,94.35,10051,70975
10.67,54.26,4.104,70.58,0.144,0.6508,93.73,31996,85953
48.38,180.59,2.737,63.21,0.0472,1.0,95.4,1842,87670
48.23,187.06,3.403,70.65,0.0327,0.9577,94.67,1626,88833
42.25,157.18,6.48,73.1,0.621,0.8034,92.74,27972,46494
49.97,205.77,8.631,95.21,1.2973,0.4887,87.6,52351,185
54.83,202.27,3.493,73.96,0.2437,1.0,94.69,7933,76896
10.95,40.0,6.284,78.62,0.1517,0.5603,93.98,32618,86188
63.52,229.33,12.404,102.7,2.1692,0.3756,83.02,65180,168
54.06,230.92,3.892,81.55,0.3053,0.8885,92.97,13824,66434
47.19,192.4,6.072,76.9,0.0961,0.8982,94.43,4253,85297
32.25,143.37,3.321,72.89,0.1094,0.7789,93.99,8348,84637
45.91,161.29,3.591,69.37,0.1019,0.8577,95.07,4927,83963
35.53,185.94,8.387,96.6,0.6676,0.4362,90.83,46161,19059
39.02,138.61,3.267,75.0,0.0344,1.0,94.16,1520,89539
63.49,233.69,2.63,85.19,0.1099,0.9787,93.95,3040,84443
36.24,151.56,3.283,80.44,0.3503,0.7352,92.29,19071,68809
35.84,132.04,4.218,77.5,0.0476,0.8704,94.28,3214,86832
53.56,177.79,4.555,67.39,0.4935,0.9031,93.98,17412,55096
14.73,40.0,5.8,73.64,0.4357,0.4139,92.58,60760,69884
24.91,107.54,4.742,76.3,0.3744,0.5831,93.31,26771,73003
15.19,58.55,5.217,80.45,0.2865,0.5152,94.17,45145,75892
49.97,177.15,15.678,106.45,2.6441,0.2301,81.36,98916,0
27.8,102.29,3.267,61.91,0.0804,0.9207,95.99,5931,87715
55.62,213.33,6.948,82.5,1.0965,0.6437,90.07,34383,0
39.06,155.28,4.551,81.85,0.3567,0.7396,92.75,17069,68396
39.89,153.13,5.521,81.58,0.5684,0.6914,92.3,36304,36372
39.4,146.47,3.863,76.84,0.0563,0.9004,94.76,2927,88531
45.51,160.43,8.886,84.56,1.1934,0.4399,89.13,64207,1162
18.09,82.91,3.449,56.41,0.086,0.9443,96.86,8817,87924
41.31,117.89,3.782,79.07,0.1445,0.8475,94.07,8109,80710
54.38,227.86,8.928,97.78,1.2433,0.5374,87.05,43786,79
64.69,271.88,2.812,77.61,0.4039,0.8049,92.98,11663,58789
72.8,234.12,12.939,107.4,1.7022,0.4751,85.78,48290,122
51.97,236.43,4.956,80.19,0.4602,0.792,92.78,16832,55931
23.41,99.24,5.504,50.72,0.2882,0.7801,95.89,23259,78244
26.72,78.44,3.351,71.05,0.0572,0.9596,95.28,4389,88454
76.99,291.24,4.173,85.28,0.0997,0.9486,93.54,2774,82860
59.26,227.72,5.704,87.43,0.0565,0.8575,94.43,1798,85990
38.25,127.18,7.601,79.71,0.8424,0.544,91.09,39274,19683
45.53,154.15,5.122,84.0,0.3633,0.8458,92.71,18994,61971
30.71,125.75,3.053,73.91,0.0797,0.8926,94.67,6022,86143
54.68,196.35,8.133,88.12,1.235,0.5973,88.7,41326,0
26.78,123.27,2.856,62.73,0.0179,1.0,96.18,1256,89279
44.51,169.35,7.75,92.82,1.3303,0.4772,86.99,54526,147
8.0,40.0,3.287,63.94,0.0486,0.8203,96.09,12706,88558
39.71,152.99,3.663,62.17,0.1875,0.9155,94.27,11207,80347
52.18,183.35,3.731,75.24,0.0643,0.9098,93.74,2334,86798
41.1,167.01,3.153,82.9,0.2431,0.8914,94.41,15552,73669
42.45,164.98,6.414,88.19,0.6213,0.6162,91.3,37346,22882
64.1,254.35,6.769,83.09,0.2444,0.8661,93.55,7789,72165
49.74,218.05,9.281,80.85,0.9608,0.5651,89.99,39229,0
62.6,204.14,13.763,108.32,2.557,0.3158,82.16,99921,176
38.77,152.91,5.382,69.04,0.302,0.9173,94.84,14739,75417
58.73,214.5,5.408,76.28,0.3953,0.8659,94.54,12731,62785
60.91,221.22,4.582,75.79,0.3379,0.995,94.67,11071,67617
49.46,191.75,3.81,80.04,0.3014,0.7516,92.17,11258,70783
26.73,67.19,1.891,66.39,0.0611,1.0,95.97,5383,87473
23.31,67.39,5.223,79.87,0.2268,0.6729,92.94,25651,78154
29.71,87.48,4.649,77.5,0.5055,0.6166,92.5,32227,59850
29.88,100.13,2.843,69.89,0.1469,1.0,95.25,11531,83098
47.88,164.01,3.658,89.3,0.1064,0.8766,94.24,4958,83197
52.67,171.07,14.061,115.41,2.4519,0.1648,81.74,100000,98
55.02,185.39,13.979,103.64,2.5148,0.3269,81.74,89693,163
40.3,122.06,4.777,70.24,0.2956,0.7561,93.75,13317,73696
53.37,202.96,3.79,70.2,0.0618,1.0,95.64,2818,86701
49.15,200.6,4.009,83.06,0.35,0.8279,93.13,15333,63762
34.94,135.96,5.435,76.31,0.6145,0.5061,92.69,40340,33196
60.42,218.32,5.285,80.64,0.3321,0.7322,93.05,11074,62740
56.74,212.33,13.146,99.46,2.356,0.3813,83.66,72944,198
38.18,137.99,11.009,87.59,1.4981,0.3818,87.42,68284,679
