Load (kN),Torque (Nm),Vibration RMS (mm/s),Temperature (°C),Wear (mm),Lubrication Index,Efficiency (%),Cycles in Use,RUL (cycles)
50.28,222.91,6.276,84.76,0.4673,0.5986,93.77,26199,60609
47.01,200.21,4.062,63.42,0.1117,1.0,96.79,6196,95158
48.85,222.24,1.749,71.34,0.1157,1.0,96.83,6256,95704
43.55,188.73,1.871,62.52,0.0784,0.9612,96.87,6109,95515
41.75,182.72,2.91,74.63,0.0216,0.8382,96.81,1761,98798
30.18,129.98,3.504,56.52,0.2545,0.7936,96.9,26587,85525
58.7,247.34,9.294,90.79,1.1019,0.4096,91.71,55043,0
72.46,317.44,2.614,75.03,0.0122,0.9113,95.59,530,99805
40.99,145.12,2.259,60.69,0.017,0.9696,96.88,1507,99640
83.59,350.16,6.506,81.96,0.6226,0.781,93.93,25513,23267
56.78,229.66,6.672,88.27,0.8585,0.4837,91.59,51360,0
54.65,219.57,4.388,71.18,0.2493,0.7877,94.97,11869,84775
61.79,272.05,3.829,89.16,0.2739,0.8523,94.17,12906,81567
67.55,300.04,4.888,75.19,0.4986,0.7407,95.15,27216,42775
41.82,191.35,2.566,71.57,0.1138,0.7374,95.82,9615,92835
59.99,268.19,3.123,81.9,0.0189,0.9284,95.67,809,98540
68.84,294.68,6.51,82.06,0.9491,0.7339,93.0,39867,331
43.17,152.75,5.635,75.79,0.4359,0.7265,94.4,29477,69307
50.09,205.39,4.164,69.44,0.424,0.8563,94.15,26079,70048
36.19,160.83,4.653,75.63,0.4837,0.652,93.97,40607,64390
41.13,175.71,3.098,71.03,0.4984,0.7226,95.42,33739,66216
43.71,201.39,2.558,68.17,0.1108,1.0,95.91,6916,96015
33.72,147.77,5.143,58.36,0.1304,0.8187,96.82,13038,92962
48.87,207.21,3.161,65.57,0.0598,0.9129,97.45,4044,96183
55.95,219.1,2.254,63.96,0.0782,1.0,96.6,4173,95892
57.7,235.65,6.429,83.34,0.6035,0.6232,93.09,33828,34460
35.45,169.35,6.517,81.54,0.5797,0.3588,93.83,58685,36607
39.09,158.07,7.054,85.69,1.355,0.3513,89.74,98689,823
65.32,290.36,7.754,86.39,0.6704,0.6492,93.19,29694,30068
39.04,128.87,2.053,57.61,0.0738,0.9722,96.95,6104,96790
64.84,255.75,2.442,64.73,0.0833,1.0,97.57,3350,95978
36.82,122.36,5.525,83.61,0.6814,0.4673,93.46,50276,41956
56.79,192.95,6.216,70.79,0.3978,0.7982,95.46,25936,60895
63.54,230.29,5.226,76.89,0.706,0.7658,93.82,28892,39101
10.0,50.0,3.384,51.25,0.1485,0.7131,98.47,45624,96207
65.63,304.73,4.793,75.02,0.812,0.6365,92.91,36449,6706
73.47,276.53,7.384,95.03,1.4587,0.4673,89.32,53956,0
44.44,187.08,1.558,62.62,0.0305,0.9958,97.34,1736,98767
56.22,231.62,5.875,77.0,0.6585,0.6993,92.81,41293,24998
34.9,147.56,6.036,70.21,0.6558,0.6016,94.52,57085,46755
56.54,233.01,4.063,76.04,0.2255,0.8008,94.85,10112,86950
94.3,382.53,7.368,100.47,0.9832,0.6522,91.14,30687,294
10.46,50.0,1.811,53.94,0.045,0.8757,97.93,11313,98865
40.99,183.51,10.818,86.87,1.5148,0.2557,90.6,95082,0
64.34,290.71,4.035,69.82,0.0214,0.9536,97.19,1020,98717
72.71,304.77,6.953,85.74,0.6672,0.7016,92.98,26010,31049
25.12,106.52,0.5,60.32,0.0404,1.0,96.12,5464,98000
38.51,134.59,5.159,74.86,0.3977,0.578,95.23,37367,63679
39.55,156.1,2.163,67.27,0.0833,1.0,96.26,5804,96951
38.25,171.23,2.876,71.37,0.1195,0.9006,96.2,8051,95787
47.91,180.95,4.744,65.63,0.3638,0.7522,94.76,20459,76785
24.28,99.77,6.622,68.79,0.4834,0.4129,95.17,73895,58627
45.42,233.7,3.092,67.95,0.0958,0.8408,96.23,7137,94571
33.15,143.51,3.511,64.91,0.0483,0.911,97.0,4673,97681
48.76,182.25,5.835,79.78,0.6616,0.6199,93.62,42686,34417
37.31,212.42,4.443,73.58,0.2952,0.6492,94.47,20832,82916
46.96,204.67,7.702,89.49,1.2958,0.3232,90.62,72839,33
31.34,115.21,2.553,57.3,0.0466,1.0,97.78,4756,98371
67.15,280.01,6.753,84.73,0.6756,0.6045,93.32,31148,21612
44.14,151.37,2.754,63.54,0.1042,0.9093,96.07,7953,93933
50.25,194.63,2.811,72.03,0.0967,0.8598,95.23,5115,94923
47.38,216.43,4.156,74.02,0.5432,0.8004,93.99,34506,58103
50.13,185.82,4.956,75.08,0.3639,0.8361,94.97,27019,68897
50.04,181.88,7.663,78.88,0.7078,0.5465,93.8,42174,26620
64.49,289.69,4.752,70.48,0.2289,0.943,95.3,11109,84299
44.85,232.3,4.733,75.17,0.223,0.7587,95.69,17825,82896
37.04,166.6,4.093,64.52,0.2176,0.9209,95.69,15600,90243
50.75,248.53,9.716,99.68,1.4114,0.3005,88.81,100000,567
38.97,140.71,3.898,71.88,0.1251,0.809,96.66,10370,92875
48.65,213.61,3.051,61.45,0.2011,0.9514,96.53,10479,90733
31.06,153.06,3.211,66.34,0.1594,0.8942,96.34,13134,93972
68.9,279.19,5.333,75.76,0.6833,0.6994,93.26,24944,37564
35.95,131.97,4.148,68.38,0.1165,0.8109,96.11,8724,94734
71.59,298.57,11.189,86.71,1.9769,0.3833,87.83,74056,838
48.9,212.42,1.764,65.52,0.1673,0.8909,95.43,9265,91282
65.41,270.18,8.895,99.0,1.2278,0.3654,90.47,67848,571
36.19,156.16,2.808,55.59,0.0436,0.8746,97.22,3277,98782
14.6,50.0,4.671,68.94,0.1535,0.6512,96.13,32063,94271
20.32,91.33,5.633,78.04,0.5106,0.251,93.41,71250,65789
95.05,414.38,3.966,98.17,0.2067,0.9493,94.53,5545,85870
39.24,170.32,8.716,85.15,1.4076,0.2618,90.26,100000,195
69.73,277.28,4.679,80.18,0.3713,0.6722,94.16,18093,61053
26.64,79.63,6.179,87.29,0.6513,0.271,92.96,87405,31188
53.22,225.43,6.577,80.43,0.5779,0.651,93.89,33886,43228
56.27,224.91,3.212,71.58,0.174,0.8219,96.35,10768,87163
101.06,456.83,5.966,85.85,0.247,0.9091,94.59,6259,82775
44.28,214.35,2.894,68.29,0.1737,0.9274,95.35,10861,91651
37.2,118.89,2.723,63.85,0.0388,0.9305,97.31,2929,98504
56.32,231.24,3.12,59.58,0.0764,1.0,97.33,4660,96221
33.35,124.92,1.62,62.6,0.0326,0.9381,97.89,3317,98646
57.37,217.22,4.124,75.76,0.3339,0.8573,94.86,16494,78106
49.04,202.57,5.935,77.51,0.6947,0.6176,92.84,47627,24814
36.43,137.21,2.861,60.96,0.0621,0.8946,96.87,4573,98269
58.9,229.11,3.066,66.33,0.0678,1.0,97.17,4189,95602
51.95,197.84,4.311,76.28,0.5587,0.6877,93.54,30937,52666
63.69,294.02,3.855,76.96,0.1369,0.8155,96.07,6589,89953
79.74,330.96,3.62,76.76,0.0824,0.8893,94.77,3081,93888
40.97,170.83,3.967,62.02,0.0609,0.8684,97.62,5476,96801
42.59,204.11,6.762,85.19,1.1898,0.3547,90.81,77205,47
25.78,101.94,4.288,78.47,0.3823,0.4914,94.94,51690,70454
59.38,255.79,2.615,73.29,0.2099,0.7217,95.85,13112,80819
38.39,146.79,3.241,64.18,0.3437,0.6738,96.0,31998,72245
56.22,226.19,5.223,75.25,0.4324,0.8503,95.02,23119,67339
70.98,300.55,6.368,83.53,0.8768,0.7,92.27,33915,3687
37.68,162.26,5.378,67.32,0.5179,0.7235,94.68,34435,68805
41.46,189.05,5.652,80.99,0.4869,0.606,93.45,29725,67063
68.26,308.12,3.887,74.74,0.238,0.8242,94.67,9282,83791
62.73,262.41,2.951,89.28,0.0298,0.9063,94.98,1194,98165
60.83,277.08,5.153,80.86,0.4397,0.8367,93.66,18240,71545
42.96,163.96,9.279,82.29,1.1237,0.2943,92.29,66485,0
24.15,115.56,3.017,58.61,0.2159,0.8448,97.21,25284,91313
37.19,141.48,9.299,78.21,0.7757,0.3766,93.03,53584,32501
31.83,119.67,7.737,82.74,0.9426,0.1195,93.58,100000,0
60.47,274.59,3.497,78.46,0.093,0.8267,96.57,5360,93064
55.12,186.85,7.331,76.57,0.6194,0.6043,93.78,35308,35246
39.22,178.0,5.707,77.87,0.4078,0.5142,93.81,33653,64956
42.3,181.62,8.93,88.07,1.1535,0.1348,91.42,100000,908
58.56,249.32,8.461,87.81,1.7662,0.3489,89.59,100000,0
44.25,218.22,4.28,71.07,0.4574,0.5933,95.12,34816,57630
39.54,144.6,3.787,74.77,0.0941,0.7778,95.63,8376,94055
85.61,336.04,9.265,91.92,1.3543,0.5214,89.81,48067,640
40.11,190.64,3.914,65.94,0.0398,0.8804,97.03,3396,97966
62.04,256.33,6.492,78.8,0.871,0.6012,93.47,45519,955
57.07,263.94,9.83,90.78,1.5473,0.4324,88.97,72304,436
22.58,108.02,2.14,54.02,0.1183,0.8957,97.95,14478,95856
37.78,165.28,2.494,65.59,0.3921,0.7548,95.59,29879,76044
64.74,267.76,4.772,80.46,0.3763,0.7193,94.77,16871,67952
47.63,195.01,4.992,66.88,0.2552,0.7138,96.49,17275,80480
23.63,138.98,3.991,65.53,0.0774,0.832,97.35,11148,96495
57.1,227.59,7.653,79.98,0.8321,0.5185,93.18,43081,814
39.52,186.79,6.902,91.51,1.0014,0.2894,90.94,82549,0
57.85,224.5,10.518,89.62,1.3571,0.2802,91.44,84780,1142
98.38,395.35,5.536,94.03,0.2178,0.8746,93.05,5763,84476
56.88,242.56,9.336,87.1,1.1227,0.4592,90.95,62322,0
61.02,253.23,7.886,86.92,0.8896,0.6714,91.86,40117,6684
45.43,210.02,3.013,65.96,0.1245,0.9758,96.11,8744,92737
29.85,119.81,3.058,64.4,0.0239,0.9002,96.78,2090,99427
68.43,277.03,3.917,65.62,0.206,0.975,96.51,9359,86228
39.09,138.76,7.115,81.03,1.0606,0.5185,92.43,72984,305
45.87,239.41,3.538,69.79,0.3794,0.5624,95.96,30086,62559
82.28,315.96,7.237,78.93,1.1172,0.6844,91.94,38302,98
43.92,246.79,2.432,69.58,0.1403,0.8853,96.02,8918,92654
71.88,315.29,6.972,92.31,1.0246,0.4978,90.7,38123,260
56.97,248.3,3.388,74.81,0.0152,1.0,96.27,856,98769
40.04,138.05,2.913,67.23,0.1518,0.9282,96.83,14116,90583
56.15,246.74,4.416,87.49,0.4589,0.7068,93.41,29565,52520
37.1,124.8,2.112,61.33,0.0522,0.908,97.82,4738,97328
66.29,275.1,7.863,83.06,1.0232,0.5199,92.45,51949,474
72.45,326.25,3.318,64.4,0.1669,1.0,95.3,8038,88191
50.88,184.85,7.437,71.73,0.5571,0.6675,94.36,31691,52339
74.16,324.58,5.514,83.26,0.385,0.8302,94.86,15586,67082
52.88,214.86,5.741,75.12,0.5278,0.6614,94.7,27193,57273
66.46,290.42,3.551,72.46,0.0872,1.0,95.99,3410,96438
103.12,406.26,3.998,95.59,0.0168,0.8689,94.33,512,99003
94.55,423.65,10.566,102.58,2.1727,0.4728,86.48,72094,0
46.71,210.08,4.068,64.57,0.1698,0.7705,96.08,9426,91151
55.28,215.36,6.129,87.29,0.9212,0.5516,91.75,51390,0
31.03,114.78,7.706,83.25,1.0105,0.2506,92.24,100000,0
64.38,295.78,4.54,85.61,0.1602,0.8135,94.33,7126,89254
57.01,230.88,3.925,67.46,0.169,1.0,96.25,9244,89953
36.07,134.64,4.194,67.03,0.3366,0.6561,96.02,32618,74070
71.36,310.16,12.583,105.98,2.5835,0.148,84.13,100000,0
45.22,202.8,7.056,80.84,1.0363,0.3798,92.12,74242,553
40.62,159.51,4.971,80.95,0.2453,0.6019,96.22,20967,80420
57.19,268.84,7.896,82.2,1.024,0.4906,91.45,47559,0
41.63,174.81,2.472,62.58,0.0697,1.0,96.63,4377,98405
49.43,225.86,9.582,96.57,1.6016,0.2482,87.95,100000,0
81.43,360.2,13.331,105.94,3.0123,0.19,82.3,100000,231
38.94,137.06,2.077,61.54,0.0774,0.8869,97.63,5364,97015
62.16,284.22,2.216,68.16,0.2139,0.9212,96.2,10676,86134
39.5,186.34,3.515,60.36,0.0472,1.0,97.02,3166,97665
32.48,143.13,2.331,75.5,0.0901,0.8761,95.8,9512,95773
48.53,155.6,5.617,92.52,0.7134,0.4765,92.07,50777,11270
98.32,417.63,5.771,93.33,0.4624,0.854,93.16,14260,52807
64.07,250.91,3.167,73.3,0.0546,0.8812,96.31,2777,96219
58.32,217.63,3.339,69.94,0.2184,0.8901,96.74,12567,84689
40.56,167.21,7.913,96.9,1.412,0.1974,89.02,100000,161
43.08,137.33,5.104,77.02,0.3508,0.6037,95.39,29802,68402
23.3,95.77,3.225,49.01,0.1115,0.8385,97.31,16144,94887
82.31,367.55,3.081,80.97,0.1692,0.9969,95.36,5465,89447
54.84,241.31,10.903,95.59,1.9184,0.245,88.6,100000,0
53.28,247.2,4.17,84.83,0.8209,0.6366,92.75,51586,1608
53.67,219.05,2.458,65.82,0.1879,0.96,95.91,9917,90667
87.62,377.08,4.074,86.84,0.0661,0.949,94.73,2179,96333
55.39,210.87,2.287,75.18,0.0387,0.935,96.09,1749,97938
46.53,156.53,1.025,68.94,0.0686,0.9649,95.95,3848,96991
82.38,323.79,6.364,90.47,0.7721,0.6434,91.54,26080,8239
47.67,185.41,8.196,82.93,1.3738,0.5243,90.99,79252,511
19.55,66.52,2.629,58.35,0.1086,0.804,96.28,20600,95136
22.51,119.12,3.446,59.65,0.3546,0.615,96.88,55535,77349
46.55,192.48,3.549,77.77,0.2668,0.7331,95.96,17712,81236
55.25,274.9,5.884,71.86,0.5801,0.7566,95.12,36990,40561
64.8,302.64,6.69,79.48,0.8953,0.6078,93.12,39489,0
33.47,120.4,0.793,65.35,0.0689,1.0,97.34,5733,96996
45.95,213.49,3.274,59.83,0.222,0.9309,96.1,13446,87886
35.43,169.72,2.908,69.45,0.2881,0.7951,95.18,30426,79598
70.05,287.0,2.65,81.06,0.0423,1.0,95.22,2200,95941
73.08,307.35,3.752,76.6,0.3845,0.8333,94.87,13461,71786
85.25,344.86,6.025,86.09,0.7356,0.7953,92.06,22959,25877
56.33,284.25,11.723,91.85,2.2005,0.2533,87.53,100000,1003
83.58,383.34,5.8,90.23,0.5209,0.7669,93.29,19304,44503
37.53,151.8,6.731,73.41,0.7209,0.5523,93.85,50794,42823
53.89,257.57,4.865,59.96,0.2965,0.6707,96.72,16973,75393
30.91,120.9,5.595,69.49,0.4336,0.6356,94.82,47747,67263
60.32,272.36,5.48,76.32,0.496,0.663,94.85,27147,49590
55.13,236.65,7.793,92.44,1.3248,0.3312,90.32,65304,37
10.0,50.0,4.23,53.48,0.0497,0.7925,97.38,15877,98082
69.97,273.5,4.893,82.39,0.6252,0.7817,92.99,27813,36284
65.4,263.04,6.347,78.29,0.6536,0.685,93.5,29829,32951
40.0,180.18,4.22,74.76,0.2186,0.6832,96.34,16207,85950
55.06,232.66,2.124,65.28,0.0933,1.0,96.43,4675,95662
23.11,90.42,2.403,50.24,0.0201,0.9373,97.3,2947,100075
36.14,180.88,1.81,65.08,0.0071,0.8745,97.38,504,100265
80.04,338.77,8.89,105.33,1.5845,0.3809,89.04,62034,274
29.22,122.76,2.551,70.52,0.0677,0.7584,95.97,8094,95488
50.17,199.96,2.596,67.98,0.1095,0.9813,96.79,7129,94025
24.87,110.34,5.102,74.52,0.3883,0.5115,95.26,39958,79196
56.08,247.41,3.608,74.71,0.2158,0.7809,96.42,11571,85224
60.13,255.49,4.418,71.57,0.3535,0.9757,94.62,21159,71865
63.03,276.51,4.426,75.1,0.0926,0.9025,95.63,5320,92989
58.42,232.18,10.196,103.94,1.6328,0.2558,88.96,96376,392
75.68,296.2,8.708,90.4,1.2586,0.5212,90.84,57232,0
40.03,162.95,8.227,86.19,0.742,0.3115,93.1,59807,12135
30.95,138.51,3.298,55.56,0.1553,0.9217,97.6,15665,93479
39.43,186.27,4.076,81.84,0.4869,0.5599,93.1,43110,53927
25.77,152.94,3.254,64.76,0.0399,0.9887,96.66,4660,99018
51.42,228.85,2.768,68.95,0.0043,0.9933,96.46,260,100466
47.49,158.85,2.852,57.52,0.0095,1.0,97.93,605,99869
58.6,269.54,7.399,83.03,0.592,0.6713,93.36,26500,50280
20.91,96.14,3.341,53.36,0.1089,0.8158,97.3,18231,94860
49.77,195.17,3.714,70.27,0.4288,0.9208,95.46,21895,75955
71.86,318.29,3.622,82.25,0.0049,0.8555,96.09,225,100160
60.3,261.7,3.9,69.14,0.3126,1.0,95.4,16481,79223
15.88,57.04,3.599,66.98,0.1951,0.7023,96.11,37983,91914
49.79,211.55,4.338,63.72,0.2813,0.7756,96.06,17539,80061
36.81,136.69,5.543,79.92,0.4859,0.4928,94.35,39528,60126
50.23,206.99,4.368,72.01,0.1163,0.7637,96.9,7959,91898
43.15,155.11,6.066,79.62,0.8583,0.4344,92.96,50322,18828
81.31,350.0,6.407,90.28,0.5826,0.7511,92.66,26633,23440
51.54,223.89,3.396,72.25,0.1415,0.8806,96.2,7101,94042
55.7,256.63,3.177,73.63,0.1301,0.9324,95.99,8104,91544
49.21,226.73,4.636,73.83,0.4209,0.7463,94.67,29668,63915
58.54,232.68,8.2,86.9,1.1854,0.5429,91.45,53148,571
46.1,201.34,3.53,69.94,0.2344,0.6938,96.53,16117,83209
63.92,276.9,2.671,82.79,0.1685,0.9056,94.73,8964,88046
42.95,164.38,5.282,86.2,0.8123,0.4775,92.31,60525,8202
74.78,332.2,6.731,89.07,0.8148,0.5425,91.75,33193,0
58.94,241.21,4.684,76.02,0.315,0.6118,95.11,17831,68577
47.25,185.54,3.825,62.76,0.3336,0.789,96.23,20077,78413
65.16,270.3,3.404,84.13,0.1509,0.9264,94.87,6854,90379
58.87,213.56,5.634,88.24,0.6175,0.6667,93.43,29569,43413
64.89,237.14,3.065,81.46,0.3153,0.7891,95.24,13330,77698
51.54,228.14,10.493,97.75,1.5809,0.1046,88.52,100000,362
45.66,178.51,4.251,60.63,0.2476,0.7867,96.28,19628,81683
52.43,195.77,4.181,71.85,0.3544,0.8024,94.89,19959,74281
40.99,139.65,5.879,71.54,0.3527,0.7201,96.3,25031,75997
67.63,258.62,10.664,94.71,1.8879,0.4846,87.29,74579,0
76.45,305.69,8.486,94.96,1.4489,0.4737,89.25,48406,0
60.42,213.92,3.7,80.88,0.314,0.7982,93.97,17997,72937
75.53,330.36,6.813,84.62,1.0222,0.6586,92.24,38050,522
70.28,303.49,4.882,81.56,0.5919,0.7805,93.4,26474,39589
45.17,173.79,4.002,70.63,0.2804,0.7147,95.75,20340,79180
65.04,299.31,3.102,80.72,0.1133,0.9102,95.14,6408,91965
26.91,98.75,3.498,62.06,0.1384,0.8391,97.05,18705,91790
53.35,223.31,3.815,64.73,0.1265,0.8734,95.36,8464,91808
28.72,147.24,6.035,61.76,0.713,0.5146,93.88,73897,42882
48.03,194.78,2.253,75.06,0.1596,0.7531,96.12,12257,86834
24.09,117.16,5.021,84.3,0.6916,0.3319,93.26,91262,40183
69.7,306.66,4.776,76.19,0.6217,0.7663,94.35,22846,47272
42.89,170.4,5.255,85.96,0.3431,0.5848,94.15,29953,67364
66.31,272.95,5.803,76.93,0.5891,0.7465,93.98,23488,49869
48.64,176.97,2.224,72.21,0.063,0.9268,96.04,4157,96609
16.8,50.0,2.849,57.53,0.0925,0.809,97.27,14140,96992
41.29,157.91,3.147,65.31,0.0435,0.8618,96.14,3132,98058
40.45,174.63,3.924,70.56,0.3442,0.646,95.65,29262,72148
49.73,184.46,4.104,67.09,0.3295,0.8766,96.07,17765,81128
77.14,336.28,9.375,87.66,1.3074,0.5936,90.96,45150,843
80.13,327.61,5.835,93.65,0.1867,0.6897,94.41,7472,82397
45.84,212.36,3.388,54.11,0.0881,0.9338,97.3,5394,95841
27.31,93.24,2.326,58.34,0.155,0.8738,96.52,15643,94104
36.61,152.59,7.109,87.42,0.8913,0.2849,91.15,78349,0
58.63,222.11,7.181,84.82,0.8407,0.5173,92.76,37180,11259
48.05,163.64,4.522,65.9,0.2188,0.8278,96.05,16286,84017
21.64,85.65,3.35,57.52,0.1511,0.7795,96.46,21849,94682
40.94,147.94,4.244,64.01,0.0368,0.8501,96.59,2639,97405
73.61,307.97,14.154,101.33,2.6267,0.3362,84.23,100000,0
55.26,240.5,5.668,75.59,0.6167,0.661,94.3,32935,41873
50.85,184.48,4.029,74.8,0.1953,0.8016,94.82,10081,89010
43.0,197.21,4.157,73.75,0.3106,0.7014,95.27,26443,73775
41.72,151.14,1.366,55.55,0.0412,1.0,97.52,3479,97485
59.79,236.83,11.238,103.43,1.9113,0.1846,87.58,100000,456
52.56,207.43,3.695,70.02,0.0952,0.8486,96.66,5763,94412
63.88,272.59,5.119,72.81,0.6557,0.8651,94.12,31326,40989
59.84,262.67,2.988,73.2,0.1545,0.9482,95.68,8449,90497
50.35,221.91,6.034,78.19,0.7334,0.6216,92.65,37929,36526
56.92,225.13,8.563,86.04,0.9251,0.4113,92.24,44993,0
39.33,175.82,6.365,68.99,0.3849,0.5799,95.59,33572,67615
49.13,223.48,3.597,75.48,0.4205,0.7454,94.67,28596,65384
74.14,299.45,10.177,105.06,1.7637,0.2463,87.57,66899,657
50.19,179.58,3.443,59.19,0.0439,1.0,97.29,2457,98826
46.09,186.75,3.89,67.86,0.1734,0.7382,96.32,12055,88510
53.79,248.76,2.94,71.89,0.157,0.9674,95.8,8562,91349
29.02,156.57,6.954,78.64,0.7753,0.4151,93.23,100000,13470
53.98,184.0,4.169,63.3,0.2574,0.9033,95.84,14799,83812
80.53,343.53,8.716,92.88,1.1652,0.5657,90.7,39572,0
35.44,156.22,4.811,76.56,0.4421,0.6808,95.27,34629,71985
54.81,259.43,3.629,56.19,0.1382,0.9751,97.49,7151,92099
49.58,211.56,2.812,69.05,0.1184,0.8834,96.68,8194,92270
49.12,209.99,4.456,69.78,0.1493,0.8394,96.49,9909,90250
48.79,197.82,4.707,72.96,0.2349,0.8981,95.13,15886,84963
62.86,244.92,3.692,71.53,0.2012,0.9069,95.8,8010,89735
30.23,115.65,1.607,61.28,0.0054,0.9142,97.88,595,99769
62.4,269.91,9.814,99.87,1.3623,0.3645,90.06,63457,104
51.24,191.79,10.639,89.12,1.7934,0.3086,88.39,100000,850
18.27,100.89,3.126,60.27,0.0728,0.8114,96.46,12537,98310
56.84,244.02,4.477,68.98,0.2632,0.9103,95.52,12398,84823
52.05,187.46,3.202,56.59,0.0043,1.0,97.53,214,100164
34.31,149.44,5.232,72.86,0.3258,0.5767,94.91,34207,72911
52.89,210.85,8.326,83.83,1.0635,0.4608,90.85,52365,204
26.31,143.68,3.677,60.69,0.0396,0.8379,97.38,4756,99065
37.68,126.64,2.205,63.89,0.0537,0.9825,96.76,5219,97281
50.67,210.29,5.719,88.83,0.7409,0.5718,91.61,46831,17227
19.66,65.75,3.342,62.61,0.2099,0.7423,96.44,28736,91736
29.28,136.92,2.889,61.51,0.0147,1.0,97.54,1377,100148
31.97,153.21,4.253,65.61,0.2926,0.6837,95.89,29229,81868
51.43,188.55,4.563,66.89,0.1739,0.868,96.8,11085,87761
57.94,246.78,3.695,63.8,0.2336,0.869,96.93,13800,81212
33.93,176.81,4.879,77.52,0.5354,0.4759,93.5,44055,59120
32.92,155.67,6.438,82.51,0.6151,0.4391,92.15,49970,52287
52.49,251.72,4.884,69.15,0.2373,0.8004,95.76,15343,82062
52.0,225.68,11.955,92.62,1.712,0.201,88.09,88211,59
37.4,129.7,3.234,65.39,0.1927,0.8503,97.04,15650,90381
82.92,315.9,7.512,92.69,1.0131,0.5851,91.36,44331,471
53.32,212.68,3.902,67.13,0.3017,0.6992,96.04,19842,72725
46.94,183.03,7.37,92.52,1.0591,0.3165,90.81,68346,0
43.05,215.07,7.277,92.38,0.9723,0.2866,92.54,71501,322
68.16,326.12,3.672,67.44,0.0627,1.0,96.95,2744,96893
59.81,264.78,11.215,90.51,1.978,0.2446,87.75,82698,0
18.72,91.16,5.539,65.16,0.3023,0.4845,96.1,52381,82472
37.48,139.63,6.888,79.44,0.5373,0.495,94.64,47007,49879
41.96,186.43,2.599,65.61,0.0946,0.9342,97.58,6729,95537
49.78,180.6,6.774,76.31,0.8217,0.6135,93.09,49061,15192
61.29,235.1,9.783,85.91,1.2968,0.4425,90.03,56940,0
30.74,159.19,3.289,62.62,0.1054,1.0,96.59,10239,96588
48.57,210.07,8.212,95.46,1.4306,0.3212,90.43,91260,113
80.59,352.7,2.266,77.7,0.0397,0.965,95.02,1534,97058
50.52,162.96,3.789,64.79,0.0835,0.882,96.44,4872,95503
37.5,148.42,3.269,79.06,0.2526,0.7437,95.36,23139,82019
25.98,98.73,4.412,68.29,0.2621,0.7991,95.69,25726,90091
41.24,194.93,3.385,67.92,0.4441,0.8294,95.21,31082,71368
30.58,147.41,2.019,58.34,0.0056,1.0,98.59,513,99427
42.9,197.86,9.405,84.63,1.2881,0.2121,90.13,96843,800
59.76,253.53,2.303,61.39,0.0316,0.9694,97.27,1368,97778
50.67,241.01,3.083,77.07,0.067,0.722,96.52,4632,95432
41.36,157.77,2.376,51.77,0.0055,1.0,97.86,423,99835
17.77,68.89,2.652,60.95,0.1577,0.7576,96.31,25101,95549
64.98,307.86,10.851,80.26,1.9055,0.392,88.95,80765,0
43.66,185.36,5.09,79.6,0.3946,0.5762,94.09,32894,62189
51.94,243.92,7.118,85.58,0.7359,0.3796,93.07,51890,0
33.59,132.03,3.706,53.1,0.0044,0.9406,97.76,401,99971
42.64,181.58,1.413,73.75,0.2857,0.6779,94.78,23428,77487
39.56,187.29,4.301,74.24,0.278,0.7547,95.9,18461,84512
25.99,135.77,3.492,67.06,0.2082,0.8398,95.88,20733,91928
33.66,139.67,2.892,65.21,0.0249,1.0,96.5,2249,98572
49.74,181.33,5.033,64.89,0.6317,0.8331,94.55,34602,53097
55.37,214.33,6.238,84.41,0.3515,0.6775,94.28,20988,68073
37.69,150.55,6.244,81.84,0.5496,0.6027,93.32,43464,56026
28.35,128.57,3.015,61.15,0.1762,0.7869,97.25,19925,92191
43.58,167.74,3.022,54.65,0.0746,1.0,97.86,4854,96616
64.03,278.18,4.69,82.62,0.7405,0.8038,93.31,31346,33745
33.1,144.86,3.981,69.3,0.0565,0.7518,96.45,5676,96069
50.23,201.75,7.11,83.73,0.8635,0.5062,93.69,61764,0
38.11,122.39,4.137,61.51,0.362,0.8313,96.56,28489,78649
70.31,305.35,4.694,82.24,0.1167,0.889,95.86,5131,91886
40.88,137.87,7.533,86.76,1.1175,0.3145,90.97,98373,0
61.92,276.97,4.357,76.72,0.457,0.7745,94.54,21917,61816
68.27,329.93,4.017,78.89,0.0453,0.819,95.38,2271,96686
77.75,326.99,7.594,93.99,0.85,0.7537,92.02,29572,9482
25.64,97.43,3.424,62.35,0.0742,1.0,95.76,8759,97379
24.83,134.67,5.141,64.55,0.4176,0.6508,96.05,48842,76421
70.97,292.63,8.656,89.94,1.0883,0.5307,90.51,51083,0
68.03,291.05,10.627,94.65,2.2475,0.3387,86.35,100000,0
38.9,176.68,2.68,60.13,0.3216,0.9246,96.29,20907,86234
10.0,50.0,2.795,55.56,0.0678,0.7787,96.99,18207,97726
51.46,246.47,5.994,87.1,0.6936,0.5008,93.29,42009,22606
22.69,118.01,2.239,57.43,0.0271,0.9617,97.3,4263,98242
35.1,192.3,3.85,68.17,0.2486,0.6906,96.14,23750,82747
53.26,235.29,5.058,84.6,0.3904,0.7897,94.29,23706,68335
55.68,227.18,2.975,65.83,0.0501,1.0,97.14,2812,96652
78.46,305.15,5.068,82.29,0.4746,0.8974,94.58,16238,63684
43.29,184.41,4.756,77.39,0.6862,0.5265,93.68,57578,18637
32.43,138.25,4.694,79.44,0.6744,0.5419,92.57,58170,48586
